"CpG_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","UCSC_RefGene_Name","Regulation","chr","pos"
"cg03139475",1.27727803583994,-5.32722317931298,11.2247739518006,6.48844550615549e-21,3.62094040756847e-17,36.8486167083628,"NDUFB7","Hypermethylated","chr19",14682660
"cg03143486",3.08651068308757,2.14215573503532,11.9627434900538,9.18207460498509e-23,1.06143033467036e-18,40.9767446931449,NA,"Hypermethylated","chr7",811491
"cg03157633",1.12956504342385,-4.60437581158458,11.2260224696857,6.44185003753283e-21,3.62094040756847e-17,36.8556078017405,NA,"Hypermethylated","chr12",13154475
"cg03244189",1.65452379305417,-0.932124884465931,12.7060117462103,1.27894240858901e-24,3.26811519304668e-20,45.1151714104697,"TTTY14","Hypermethylated","chrY",21238472
"cg03489642",-1.73797563233227,0.613353706015298,-11.4118811863808,2.20322802678807e-21,1.40749163913412e-17,37.8962014570258,"","Hypomethylated","chr7",116278357
"cg03622664",1.72021387155899,2.7821051474516,11.3228571800723,3.68333966950185e-21,2.20778470323356e-17,37.3978074718262,"XPO4","Hypermethylated","chr13",21371628
"cg03723716",2.46869900337101,3.06547485065588,13.6614279239185,5.49269877605711e-27,4.44461861360173e-22,50.3837868768275,"PPP2R1B;PPP2R1B","Hypermethylated","chr11",111609239
"cg04281069",1.97645641727001,4.12308547306507,11.1850984559218,8.15842713236466e-21,4.16948870935645e-17,36.626450218136,"STX11","Hypermethylated","chr6",144508118
"cg04502601",-1.75768533003638,1.06160671260728,-11.9401360095124,1.04599529158141e-22,1.18103085117738e-18,40.8504855514747,"","Hypomethylated","chr1",160998902
"cg05350879",3.24001873329719,2.44385103079627,12.9819963538999,2.63343374004475e-25,1.11653570571711e-20,46.6439316774904,"SPARCL1;SPARCL1","Hypermethylated","chr4",88451223
"cg05586384",2.59533699770091,-0.137001342351892,11.6721141655775,4.90692145158461e-22,3.90552335705205e-18,39.3524010364125,"RTKN2","Hypermethylated","chr10",64005030
"cg05711710",2.45263251703013,2.17662496797541,12.1244373985643,3.61734760338796e-23,5.32201718065483e-19,41.8792233104177,"","Hypermethylated","chr10",93793140
"cg06010111",-1.86999902268537,-3.28156504738203,-12.2023713286479,2.30957831821764e-23,3.73775996144828e-19,42.3138250681422,"LIPT1;LIPT1;TSGA10;LIPT1;LIPT1;LIPT1","Hypomethylated","chr2",99771192
"cg06703803",2.51293374071618,2.65543165498118,12.1273304600354,3.55758388854495e-23,5.32201718065483e-19,41.8953612091962,NA,"Hypermethylated","chr12",110811045
"cg06724019",-1.62452909518237,-0.403731918097034,-12.479849904313,4.68345665615869e-24,9.09549763217968e-20,43.8588898823172,"KLHL18","Hypomethylated","chr3",47351359
"cg07432643",1.19674067668101,-4.49397669883642,11.6795760693404,4.70015283773802e-22,3.85059179819952e-18,39.3941356224658,"ZBED4;ZBED4","Hypermethylated","chr22",50247581
"cg07451803",2.21376718738784,2.17556163641286,11.535125678448,1.08173126577832e-21,7.50276443300804e-18,38.5860022700326,"","Hypermethylated","chr5",53927032
"cg07463445",3.00158845966456,2.41590355120014,11.7580088745692,2.98957774823163e-22,2.68791828092488e-18,39.8327269192006,"","Hypermethylated","chr8",119152014
"cg07847428",2.05522535582832,-4.7058579311895,12.8882628946344,4.50208458536925e-25,1.68139699323984e-20,46.1252769602417,"MARCH2;MARCH2;MARCH2","Hypermethylated","chr19",8478158
"cg07953015",3.76436433461387,1.61391786779484,13.8472962928462,1.9166025624477e-27,2.96224339466927e-22,51.4002069044078,"SEPW1","Hypermethylated","chr19",48285322
"cg07979106",0.912487639528226,-4.38821651401582,12.2034658383308,2.29507431810177e-23,3.73775996144828e-19,42.3199267646758,"RAP2A","Hypermethylated","chr13",98086433
"cg08183663",3.03751185353729,2.2879646795551,12.3088036257096,1.25191295812198e-23,2.25118060786563e-19,42.9069099621092,"","Hypermethylated","chr10",92783852
"cg08618451",2.36332980068755,2.6944739094373,11.803924184014,2.29403019875079e-22,2.14188305741518e-18,40.0894052358711,"ERAP1;ERAP1","Hypermethylated","chr5",96117388
"cg08833546",1.29889773733756,-5.53626430336253,11.8960384691222,1.34873661897156e-22,1.43222885543272e-18,40.6041572840409,"TYW1;SBDS;TYW1","Hypermethylated","chr7",66461892
"cg08872001",-1.91684990650625,1.56323276018139,-11.9248523388162,1.14232501813347e-22,1.26048296410004e-18,40.7651186403631,"DOCK1","Hypomethylated","chr10",128793774
"cg09490124",3.17196226347686,1.79663416346979,11.8876005731178,1.41596881355704e-22,1.43222885543272e-18,40.5570159002465,"PUS7","Hypermethylated","chr7",105128488
"cg09652142",1.73211108984821,3.00195536982858,11.5769164512014,8.49914724661678e-22,6.15886265373046e-18,38.8198470523025,"MAP4;MAP4;MAP4;MAP4","Hypermethylated","chr3",47932918
"cg09767588",1.71934377064244,2.22514403820794,12.5343022711656,3.42566845932862e-24,7.23131802185024e-20,44.1616280082249,"","Hypermethylated","chr1",59644647
"cg10434977",3.27306276850611,2.68641370082344,11.8804894660643,1.47522695552577e-22,1.46171508088005e-18,40.5172853013453,"","Hypermethylated","chr8",67472493
"cg10792987",2.58749106130041,1.18344224267519,11.6156846141343,6.79540562410962e-22,5.07577073134263e-18,39.0367473794498,"ELL","Hypermethylated","chr19",18575406
"cg11007542",1.96466802767931,-2.34774235542261,11.6774342044728,4.75859521272329e-22,3.85059179819952e-18,39.3821562643685,"ALOXE3","Hypermethylated","chr17",8023687
"cg11486078",2.53856937056089,2.34741349683059,11.3133317921662,3.89154766081588e-21,2.30413791207078e-17,37.3444756343535,"","Hypermethylated","chr8",103981066
"cg11751927",0.882247920321999,-4.78540694633419,11.1780565588411,8.49689112580798e-21,4.22388886285608e-17,36.5870180014612,"IL10RA;IL10RA;IL10RA","Hypermethylated","chr11",117857137
"cg11829528",-1.62868342297299,0.961504856591882,-12.728115329662,1.12672092216996e-24,3.21786193155636e-20,45.2377900139438,"CCDC12","Hypomethylated","chr3",47005092
"cg12250807",2.17483825541042,2.51208252782318,12.0087253238055,7.04469497167067e-23,8.66879067099783e-19,41.2334893101544,"MCM6","Hypermethylated","chr2",136598602
"cg13484608",-2.62378370848266,-4.25990929093221,-12.9738097911166,2.75964929159431e-25,1.11653570571711e-20,46.5986570086774,"MAP2K3","Hypomethylated","chr17",21191452
"cg13986249",-1.51544596143581,-3.48782340400693,-11.5218588432084,1.16781212955151e-21,7.98572961468748e-18,38.5117594707139,"MCART1;MCART1;MCART1","Hypomethylated","chr9",37903631
"cg14214745",1.15408836104769,-5.05119384919544,11.3534578316462,3.08691735530698e-21,1.94640963507767e-17,37.5691323203693,"CRELD1;CRELD1;CRELD1;CRELD1;CRELD1;CRELD1","Hypermethylated","chr3",9975533
"cg14234805",1.23916744128201,-5.05077799422876,11.2541273965745,5.47710096319732e-21,3.16571219386174e-17,37.0129797687623,"RALGAPB","Hypermethylated","chr20",37101345
"cg14273401",-2.33817546334013,-3.95287731122899,-12.4070651756887,7.11547736043761e-24,1.32871140162338e-19,43.4539804944181,"TRIM31","Hypomethylated","chr6",30070886
"cg14369455",2.45125360725425,3.16264967546543,11.2447273383965,5.78251869821692e-21,3.30292025671611e-17,36.9603451143399,"ALPK1;ALPK1","Hypermethylated","chr4",113300768
"cg14520571",-1.75829903711292,0.688615126426266,-12.6141489674705,2.16616609250767e-24,5.25849815952792e-20,44.6052501070102,NA,"Hypomethylated","chr1",145667233
"cg14601053",2.72123756566581,2.11625477283352,12.020018013222,6.6009127420823e-23,8.43374301903648e-19,41.2965313610004,"FAM129B;FAM129B","Hypermethylated","chr9",130271989
"cg15022739",2.52019140463784,3.0291784337442,11.5792008339379,8.38783831732286e-22,6.15886265373046e-18,38.8326285855252,"BRUNOL4;BRUNOL4;BRUNOL4;BRUNOL4","Hypermethylated","chr18",34823045
"cg16376048",-1.59769313182351,0.711051438073141,-12.0877219598352,4.46910010732545e-23,6.16187346631438e-19,41.6743895412434,"MYO5A;MYO5A","Hypomethylated","chr15",52752711
"cg17031967",2.77446012232234,2.08905892756506,11.331714276808,3.49974719554218e-21,2.15084716506592e-17,37.4473968881148,"LRRC16A","Hypermethylated","chr6",25297487
"cg17046586",3.60740009999193,1.76779488997993,11.424750653957,2.04548834875773e-21,1.32414551890942e-17,37.9682425224499,"LIMA1;LIMA1","Hypermethylated","chr12",50665774
"cg17064870",3.14915661033947,2.87457631366589,11.2050596570788,7.27050166124905e-21,3.92212866950706e-17,36.738225412292,"","Hypermethylated","chr14",102394773
"cg17882587",2.21942037974938,2.23900138755014,12.712819842175,1.22998174674013e-24,3.26811519304668e-20,45.1529422113613,"","Hypermethylated","chr2",18933408
"cg17932484",1.5539942786034,-4.77605914046073,13.804593283056,2.44051096135154e-27,2.96224339466927e-22,51.1669593561526,"MIPEP;PCOTH;MIPEP;PCOTH","Hypermethylated","chr13",24463526
"cg18076842",3.97654214824662,1.78527703463963,12.548772229551,3.15255542069936e-24,6.95728857915722e-20,44.242048851191,"C11orf75","Hypermethylated","chr11",93262607
"cg19313660",3.03643996838354,1.73946499373559,11.3034697355381,4.11952386708944e-21,2.40973285754015e-17,37.2892580177801,"","Hypermethylated","chr1",219606404
"cg19371097",1.26057204484455,2.47163227415371,11.8876828156355,1.41529759385175e-22,1.43222885543272e-18,40.5574753893236,"RCC2;RCC2","Hypermethylated","chr1",17735001
"cg19527121",0.976135502576737,-4.28630324878926,13.1733121719532,8.82864118109018e-26,4.76267915234828e-21,47.7006191064277,"C14orf43","Hypermethylated","chr14",74254025
"cg19565306",1.68917844602521,-Inf,15.8688734576115,3.08353147616588e-32,1.49709153405625e-26,62.0205571122263,"RPL23AP82;RABL2B;RABL2B;RABL2B;RPL23AP82;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B;RABL2B","Hypermethylated","chr22",51222011
"cg19688203",2.64194038941892,2.32247535042958,11.5157671680485,1.20960103177863e-21,8.15660855751259e-18,38.4776686821802,"","Hypermethylated","chr14",102394778
"cg20577468",-2.688861870482,-3.82478395745582,-11.4662250560947,1.61000779871887e-21,1.05632176536702e-17,38.2003935484877,"","Hypomethylated","chr8",80803196
"cg20706768",2.29532807527841,2.03555884316908,11.4980841527526,1.3395736749219e-21,8.90930265833811e-18,38.3787057661161,"EGFR;EGFR;EGFR","Hypermethylated","chr7",55225183
"cg20757019",1.1841173323566,-4.01486193291532,11.6464205812296,5.69104291521551e-22,4.38582480611447e-18,39.2086861735288,NA,"Hypermethylated","chr2",95873242
"cg20765408",-3.10063907390047,-2.09332422760892,-11.7754668275623,2.70320020845241e-22,2.47629460303047e-18,39.9303283780406,"PARP4","Hypomethylated","chr13",25085669
"cg21183028",1.37237553654552,-5.12884747748361,11.1995625318348,7.50491120369095e-21,3.92461093100982e-17,36.7074437032978,"EIF2AK2;EIF2AK2","Hypermethylated","chr2",37384229
"cg21486341",-1.57417016425865,0.0255779265143691,-11.1642793332284,9.20022431717463e-21,4.46681930868009e-17,36.5098699615152,NA,"Hypomethylated","chr8",118438555
"cg21687740",3.36455293364677,2.94766159155588,12.8229384037117,6.54408593108259e-25,2.11815483238118e-20,45.7634691828834,"","Hypermethylated","chr1",157164556
"cg21860825",2.30207604321505,2.37569688849973,12.1075338030076,3.98718026980274e-23,5.69359960927197e-19,41.784925773477,"PLEKHA5;PLEKHA5;PLEKHA5","Hypermethylated","chr12",19358289
"cg21985691",2.66493269813723,2.47832309506686,11.2057980691695,7.23957697656058e-21,3.92212866950706e-17,36.7423602179243,"SERGEF","Hypermethylated","chr11",17849903
"cg22111032",-1.6134155882626,0.74523566602013,-12.5101462373636,3.93541686384984e-24,7.96121713500611e-20,44.0273481151888,NA,"Hypomethylated","chr7",112191219
"cg22319784",3.58166504029471,1.09373970760857,11.8315957354103,1.95566938476798e-22,1.8617665771323e-18,40.2440666665476,"BTNL9","Hypermethylated","chr5",180486879
"cg22350438",3.36911522491301,1.86829355752142,11.5711569456146,8.78638864452016e-22,6.27337812290922e-18,38.7876211188054,"SYNC;RBBP4;SYNC;RBBP4;RBBP4","Hypermethylated","chr1",33150185
"cg22720790",3.55749648979983,2.04316299967502,12.1394627984035,3.31753399475872e-23,5.19581472536547e-19,41.9630332658273,"ZNF274;ZNF274;ZNF274","Hypermethylated","chr19",58716032
"cg23469230",1.69614193463492,0.940395560492337,11.1922284421751,7.82946140494486e-21,4.04393347408254e-17,36.6663755812367,"ZDHHC19","Hypermethylated","chr3",195939310
"cg23712970",1.38045508624447,-1.98301998113949,12.0020597908738,7.32052796863746e-23,8.66879067099783e-19,41.1962763753657,"ACIN1;ACIN1;ACIN1;ACIN1;ACIN1;ACIN1","Hypermethylated","chr14",23540735
"cg23738424",1.43382188350917,2.51166863281614,12.0029914540362,7.28133351213878e-23,8.66879067099783e-19,41.2014778471971,"LOC729603;IGF2R","Hypermethylated","chr6",160515210
"cg23836413",-1.95902520059746,0.653596940117896,-14.1047344070751,4.47936962715736e-28,1.08739385321021e-22,52.802773958339,"","Hypomethylated","chr6",29899989
"cg24698371",1.67205287294269,-4.10845284268936,11.6484793798186,5.6238377074142e-22,4.38582480611447e-18,39.2202024535175,"RFX2;RFX2","Hypermethylated","chr19",6110817
"cg24808754",2.16090544732027,2.70774768375274,11.7429583340149,3.26071663593337e-22,2.78621044189024e-18,39.7485777503805,"CNTNAP1","Hypermethylated","chr17",40851514
"cg25019564",1.13250095557046,-5.2204106158941,12.7310835640529,1.10771169714509e-24,3.21786193155636e-20,45.2542538594096,"RALBP1","Hypermethylated","chr18",9475492
"cg25137403",-2.96196429034656,-4.06234694336324,-11.5546317424611,9.66559264960401e-22,6.80110321520948e-18,38.6951547002704,"","Hypomethylated","chr2",177022172
"cg25790133",3.99830130234772,2.28147600642215,11.1774667796184,8.52586771408113e-21,4.22388886285608e-17,36.5837154344556,"FAM193A","Hypermethylated","chr4",2627014
"cg26053840",3.28425750293825,2.0661418318663,11.7422312401096,3.27442128059842e-22,2.78621044189024e-18,39.7445123359667,"GLO1","Hypermethylated","chr6",38644662
"cg26227975",1.20808042175771,-5.29648511342906,13.1150274518091,1.23135975814144e-25,5.97839938894767e-21,47.3789784054482,NA,"Hypermethylated","chr3",9773404
"cg26627956",2.19573893281857,3.92111100689087,13.2282402252458,6.45374151021703e-26,3.91671118513562e-21,48.0035038151254,"CFLAR;CFLAR;CFLAR","Hypermethylated","chr2",202004766
"cg26698460",3.39571806595627,2.08758315007703,12.0622122373993,5.17647346736271e-23,6.79254050293568e-19,41.5320398978026,"ZNF274;ZNF274;ZNF274","Hypermethylated","chr19",58716004
"cg26981170",1.98353294626282,3.06437175189865,11.8899039357843,1.39728991977022e-22,1.43222885543272e-18,40.5698847075456,"FAM193A","Hypermethylated","chr4",2662888
"cg27342333",2.66204290392286,1.01497238600344,11.3249135423288,3.63987427562378e-21,2.20778470323356e-17,37.4093207658968,"POR","Hypermethylated","chr7",75592418
